Time (seconds),Moisture,Temp,Light
129.86,656,12,0
129.96,655,12,0
130.06,647,12,0
130.16,656,12,0
130.26,655,12,0
130.36,656,12,0
130.46,657,12,0
130.56,656,12,0
130.66,656,12,0
130.76,656,12,0
130.86,656,12,0
130.96,655,12,0
131.06,654,12,0
131.16,657,12,0
131.26,657,12,0
131.36,656,12,0
131.46,657,12,0
131.56,656,13,0
131.66,662,13,0
131.76,656,13,0
131.86,655,13,0
131.96,656,13,0
132.06,656,13,0
132.16,657,13,0
132.26,657,13,0
132.36,657,13,0
132.46,656,13,0
132.56,658,13,0
132.66,656,13,0
132.76,658,13,0
132.86,656,13,0
132.96,658,13,0
133.06,657,13,0
133.16,656,13,0
133.26,656,13,0
133.36,657,13,0
133.46,657,13,0
133.56,656,13,0
133.66,658,13,0
133.76,656,13,0
133.86,657,13,0
133.96,657,13,0
134.06,657,13,0
134.16,657,13,0
134.26,656,13,0
134.36,656,13,0
134.46,656,13,0
134.56,656,13,0
134.66,656,13,0
134.76,656,13,0
134.86,648,13,0
134.96,657,13,0
135.06,656,13,0
135.16,656,13,0
135.26,655,13,0
135.36,647,13,0
135.46,656,13,0
135.56,652,13,0
135.66,659,13,0
135.76,659,13,0
135.86,658,13,0
135.96,660,13,0
136.06,659,13,0
136.16,659,13,0
136.26,659,13,0
136.36,659,13,0
136.46,679,13,0
136.56,659,13,0
136.66,659,13,0
136.76,659,13,0
136.86,659,13,0
136.96,655,13,0
137.06,660,13,0
137.16,659,13,0
137.26,659,13,0
